 
 SAP2000 v18.2.0 File: FRAME  N, mm, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  MHIST0.25
 FUNCTION  Joint2-1:  Joint 2  Displacement  UX    
 
       TIME    FUNCTION
               Joint2-1
         0.          0.
        0.1    -0.00644
        0.2    -0.02586
        0.3     -0.0271
        0.4    -0.01784
        0.5    -0.01812
        0.6     -0.0059
        0.7     0.01409
        0.8     0.01801
        0.9     0.02199
         1.     0.02838
        1.1     0.01709
        1.2     0.00304
        1.3    -0.00315
        1.4    -0.01702
        1.5    -0.02765
        1.6    -0.02281
        1.7    -0.01848
        1.8    -0.01244
        1.9     0.00475
         2.     0.01677
        2.1     0.02049
        2.2      0.0262
        2.3     0.02342
        2.4     0.00993
        2.5  -1.557E-04
        2.6    -0.01051
        2.7    -0.02342
        2.8    -0.02598
        2.9    -0.02107
         3.    -0.01596
        3.1    -0.00371
        3.2     0.01149
        3.3     0.01923
        3.4     0.02413
        3.5     0.02569
        3.6     0.01693
        3.7     0.00476
        3.8    -0.00559
        3.9    -0.01776
         4.    -0.02565
        4.1    -0.02412
        4.2      -0.019
        4.3    -0.01002
        4.4     0.00436
        4.5     0.01605
        4.6     0.02239
        4.7     0.02579
        4.8     0.02189
        4.9     0.01089
         5.  -6.146E-04
        5.1    -0.01223
        5.2    -0.02262
        5.3    -0.02567
        5.4     -0.0221
        5.5    -0.01485
        5.6    -0.00267
        5.7     0.01082
        5.8     0.01993
        5.9     0.02491
         6.     0.02459
        6.1      0.0167
        6.2     0.00506
        6.3    -0.00525
        6.4   1.425E-04
        6.5     0.00473
        6.6    -0.00402
        6.7    -0.00106
        6.8     0.00458
        6.9    -0.00279
         7.    -0.00193
        7.1     0.00416
        7.2    -0.00164
        7.3    -0.00249
        7.4     0.00356
        7.5  -6.346E-04
        7.6    -0.00276
        7.7     0.00286
        7.8   1.984E-04
        7.9     -0.0028
         8.     0.00212
        8.1   8.397E-04
        8.2    -0.00265
        8.3      0.0014
        8.4     0.00129
        8.5    -0.00235
        8.6   7.465E-04
        8.7     0.00156
        8.8    -0.00197
        8.9   1.832E-04
         9.     0.00167
        9.1    -0.00154
        9.2  -2.711E-04
        9.3     0.00164
        9.4     -0.0011
        9.5  -6.102E-04
        9.6     0.00152
        9.7  -6.856E-04
        9.8  -8.367E-04
        9.9     0.00132
        10.  -3.143E-04
