 
 SAP2000 v18.2.0 File: FRAME  N, mm, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  MHIST0.5
 FUNCTION  Joint2-1:  Joint 2  Displacement  UX    
 
       TIME    FUNCTION
               Joint2-1
         0.          0.
        0.1    -0.01234
        0.2    -0.04012
        0.3    -0.00885
        0.4     0.03765
        0.5     0.02332
        0.6     0.00203
        0.7     -0.0095
        0.8    -0.03538
        0.9       -0.02
         1.     0.02854
        1.1     0.03087
        1.2      0.0072
        1.3     -0.0073
        1.4    -0.03058
        1.5    -0.02723
        1.6     0.01736
        1.7     0.03441
        1.8     0.01413
        1.9    -0.00445
         2.    -0.02621
        2.1    -0.03126
        2.2     0.00587
        2.3     0.03387
        2.4     0.02129
        2.5  -2.806E-04
        2.6    -0.02215
        2.7    -0.03293
        2.8     -0.0047
        2.9     0.02982
         3.      0.0273
        3.1     0.00523
        3.2    -0.01107
        3.3     0.00441
        3.4     0.00659
        3.5    -0.00949
        3.6     0.00172
        3.7     0.00733
        3.8    -0.00762
        3.9  -4.990E-04
         4.     0.00744
        4.1    -0.00566
        4.2    -0.00221
        4.3     0.00704
        4.4    -0.00375
        4.5    -0.00341
        4.6     0.00627
        4.7    -0.00201
        4.8    -0.00413
        4.9     0.00525
         5.  -5.065E-04
        5.1    -0.00443
        5.2     0.00411
        5.3   7.051E-04
        5.4    -0.00437
        5.5     0.00294
        5.6     0.00161
        5.7    -0.00404
        5.8     0.00184
        5.9     0.00222
         6.    -0.00352
        6.1   8.484E-04
        6.2     0.00255
        6.3    -0.00288
        6.4   1.661E-05
        6.5     0.00264
        6.6    -0.00219
        6.7  -6.377E-04
        6.8     0.00254
        6.9     -0.0015
         7.    -0.00111
        7.1      0.0023
        7.2  -8.678E-04
        7.3    -0.00141
        7.4     0.00196
        7.5  -3.118E-04
        7.6    -0.00155
        7.7     0.00156
        7.8   1.452E-04
        7.9    -0.00156
         8.     0.00115
        8.1   4.946E-04
        8.2    -0.00147
        8.3   7.513E-04
        8.4   7.367E-04
        8.5     -0.0013
        8.6   3.888E-04
        8.7   8.788E-04
        8.8    -0.00108
        8.9   7.873E-05
         9.   9.331E-04
        9.1  -8.401E-04
        9.2  -1.699E-04
        9.3   9.148E-04
        9.4  -5.956E-04
        9.5  -3.541E-04
        9.6   8.408E-04
        9.7  -3.648E-04
        9.8  -4.757E-04
        9.9   7.278E-04
        10.  -1.598E-04
